nivel,codigo_municipio,nome_municipio,uf,ano,forma_declaracao_idade,sexo,faixa_etaria,populacao
MU,2501807,Bayeux,PB,2022,Total,Mulheres,89 anos,39.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,90 a 94 anos,113.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,90 anos,35.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,91 anos,25.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,92 anos,23.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,93 anos,18.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,94 anos,12.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,95 a 99 anos,33.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,95 anos,9.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,96 anos,10.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,97 anos,5.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,98 anos,6.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,99 anos,3.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,100 anos ou mais,9.0
MU,2503209,Cabedelo,PB,2022,Total,Total,18 anos,978.0
MU,2503209,Cabedelo,PB,2022,Total,Total,19 anos,942.0
MU,2503209,Cabedelo,PB,2022,Total,Total,20 a 24 anos,5161.0
MU,2503209,Cabedelo,PB,2022,Total,Total,20 anos,980.0
MU,2503209,Cabedelo,PB,2022,Total,Total,21 anos,1050.0
MU,2503209,Cabedelo,PB,2022,Total,Total,22 anos,1111.0
MU,2503209,Cabedelo,PB,2022,Total,Total,23 anos,1035.0
MU,2503209,Cabedelo,PB,2022,Total,Total,24 anos,985.0
MU,2503209,Cabedelo,PB,2022,Total,Total,25 a 29 anos,4879.0
MU,2503209,Cabedelo,PB,2022,Total,Total,25 anos,973.0
MU,2503209,Cabedelo,PB,2022,Total,Total,26 anos,1022.0
MU,2503209,Cabedelo,PB,2022,Total,Total,27 anos,962.0
MU,2503209,Cabedelo,PB,2022,Total,Total,28 anos,985.0
MU,2503209,Cabedelo,PB,2022,Total,Total,29 anos,937.0
MU,2503209,Cabedelo,PB,2022,Total,Total,30 a 34 anos,4666.0
MU,2503209,Cabedelo,PB,2022,Total,Total,30 anos,931.0
MU,2503209,Cabedelo,PB,2022,Total,Total,31 anos,868.0
MU,2503209,Cabedelo,PB,2022,Total,Total,32 anos,903.0
MU,2503209,Cabedelo,PB,2022,Total,Total,33 anos,985.0
MU,2503209,Cabedelo,PB,2022,Total,Total,34 anos,979.0
MU,2503209,Cabedelo,PB,2022,Total,Total,35 a 39 anos,5410.0
MU,2503209,Cabedelo,PB,2022,Total,Total,35 anos,1108.0
MU,2503209,Cabedelo,PB,2022,Total,Total,36 anos,1042.0
MU,2503209,Cabedelo,PB,2022,Total,Total,37 anos,1070.0
MU,2503209,Cabedelo,PB,2022,Total,Total,38 anos,1076.0
MU,2503209,Cabedelo,PB,2022,Total,Total,39 anos,1114.0
MU,2503209,Cabedelo,PB,2022,Total,Total,40 a 44 anos,5376.0
MU,2503209,Cabedelo,PB,2022,Total,Total,40 anos,1185.0
MU,2503209,Cabedelo,PB,2022,Total,Total,41 anos,1098.0
MU,2503209,Cabedelo,PB,2022,Total,Total,42 anos,1134.0
MU,2503209,Cabedelo,PB,2022,Total,Total,43 anos,1018.0
MU,2503209,Cabedelo,PB,2022,Total,Total,44 anos,941.0
MU,2503209,Cabedelo,PB,2022,Total,Total,45 a 49 anos,4704.0
MU,2503209,Cabedelo,PB,2022,Total,Total,45 anos,987.0
MU,2503209,Cabedelo,PB,2022,Total,Total,46 anos,992.0
MU,2503209,Cabedelo,PB,2022,Total,Total,47 anos,894.0
MU,2503209,Cabedelo,PB,2022,Total,Total,48 anos,894.0
MU,2503209,Cabedelo,PB,2022,Total,Total,49 anos,937.0
MU,2503209,Cabedelo,PB,2022,Total,Total,50 a 54 anos,4204.0
MU,2503209,Cabedelo,PB,2022,Total,Total,50 anos,918.0
MU,2503209,Cabedelo,PB,2022,Total,Total,51 anos,817.0
MU,2503209,Cabedelo,PB,2022,Total,Total,52 anos,891.0
MU,2503209,Cabedelo,PB,2022,Total,Total,53 anos,785.0
MU,2503209,Cabedelo,PB,2022,Total,Total,54 anos,793.0
MU,2503209,Cabedelo,PB,2022,Total,Total,55 a 59 anos,3752.0
MU,2503209,Cabedelo,PB,2022,Total,Total,55 anos,763.0
MU,2503209,Cabedelo,PB,2022,Total,Total,56 anos,770.0
MU,2503209,Cabedelo,PB,2022,Total,Total,57 anos,776.0
MU,2503209,Cabedelo,PB,2022,Total,Total,58 anos,735.0
MU,2503209,Cabedelo,PB,2022,Total,Total,59 anos,708.0
MU,2503209,Cabedelo,PB,2022,Total,Total,60 a 64 anos,3092.0
MU,2503209,Cabedelo,PB,2022,Total,Total,60 anos,711.0
MU,2503209,Cabedelo,PB,2022,Total,Total,61 anos,642.0
MU,2503209,Cabedelo,PB,2022,Total,Total,62 anos,619.0
MU,2503209,Cabedelo,PB,2022,Total,Total,63 anos,603.0
MU,2503209,Cabedelo,PB,2022,Total,Total,64 anos,517.0
MU,2503209,Cabedelo,PB,2022,Total,Total,65 a 69 anos,2290.0
MU,2503209,Cabedelo,PB,2022,Total,Total,65 anos,571.0
MU,2503209,Cabedelo,PB,2022,Total,Total,66 anos,491.0
MU,2503209,Cabedelo,PB,2022,Total,Total,67 anos,465.0
MU,2503209,Cabedelo,PB,2022,Total,Total,68 anos,434.0
MU,2503209,Cabedelo,PB,2022,Total,Total,69 anos,329.0
MU,2503209,Cabedelo,PB,2022,Total,Total,70 a 74 anos,1659.0
MU,2503209,Cabedelo,PB,2022,Total,Total,70 anos,416.0
MU,2503209,Cabedelo,PB,2022,Total,Total,71 anos,308.0
MU,2503209,Cabedelo,PB,2022,Total,Total,72 anos,354.0
MU,2503209,Cabedelo,PB,2022,Total,Total,73 anos,309.0
MU,2503209,Cabedelo,PB,2022,Total,Total,74 anos,272.0
MU,2503209,Cabedelo,PB,2022,Total,Total,75 a 79 anos,1061.0
MU,2503209,Cabedelo,PB,2022,Total,Total,75 anos,252.0
MU,2503209,Cabedelo,PB,2022,Total,Total,76 anos,231.0
MU,2503209,Cabedelo,PB,2022,Total,Total,77 anos,210.0
MU,2503209,Cabedelo,PB,2022,Total,Total,78 anos,191.0
MU,2503209,Cabedelo,PB,2022,Total,Total,79 anos,177.0
MU,2503209,Cabedelo,PB,2022,Total,Total,80 a 84 anos,638.0
MU,2503209,Cabedelo,PB,2022,Total,Total,80 anos,148.0
MU,2503209,Cabedelo,PB,2022,Total,Total,81 anos,130.0
MU,2503209,Cabedelo,PB,2022,Total,Total,82 anos,154.0
MU,2503209,Cabedelo,PB,2022,Total,Total,83 anos,107.0
MU,2503209,Cabedelo,PB,2022,Total,Total,84 anos,99.0
MU,2503209,Cabedelo,PB,2022,Total,Total,85 a 89 anos,331.0
MU,2503209,Cabedelo,PB,2022,Total,Total,85 anos,99.0
MU,2503209,Cabedelo,PB,2022,Total,Total,86 anos,63.0
MU,2503209,Cabedelo,PB,2022,Total,Total,87 anos,72.0
