codigo_municipio,nome_municipio,uf,ano,forma_declaracao_idade,sexo,faixa_etaria,populacao
,Cabedelo,PB,2022,Total,Total,83 anos,107.0
,Cabedelo,PB,2022,Total,Total,84 anos,99.0
,Cabedelo,PB,2022,Total,Total,85 anos,99.0
,Cabedelo,PB,2022,Total,Total,86 anos,63.0
,Cabedelo,PB,2022,Total,Total,87 anos,72.0
,Cabedelo,PB,2022,Total,Total,88 anos,47.0
,Cabedelo,PB,2022,Total,Total,89 anos,50.0
,Cabedelo,PB,2022,Total,Total,90 anos,50.0
,Cabedelo,PB,2022,Total,Total,91 anos,45.0
,Cabedelo,PB,2022,Total,Total,92 anos,37.0
,Cabedelo,PB,2022,Total,Total,93 anos,31.0
,Cabedelo,PB,2022,Total,Total,94 anos,23.0
,Cabedelo,PB,2022,Total,Total,95 anos,21.0
,Cabedelo,PB,2022,Total,Total,96 anos,10.0
,Cabedelo,PB,2022,Total,Total,97 anos,10.0
,Cabedelo,PB,2022,Total,Total,98 anos,8.0
,Cabedelo,PB,2022,Total,Total,99 anos,3.0
,Cabedelo,PB,2022,Total,Total,100 anos ou mais,12.0
,Conde,PB,2022,Total,Total,18 anos,451.0
,Conde,PB,2022,Total,Total,19 anos,388.0
,Conde,PB,2022,Total,Total,20 anos,434.0
,Conde,PB,2022,Total,Total,21 anos,415.0
,Conde,PB,2022,Total,Total,22 anos,459.0
,Conde,PB,2022,Total,Total,23 anos,466.0
,Conde,PB,2022,Total,Total,24 anos,365.0
,Conde,PB,2022,Total,Total,25 anos,404.0
,Conde,PB,2022,Total,Total,26 anos,423.0
,Conde,PB,2022,Total,Total,27 anos,421.0
,Conde,PB,2022,Total,Total,28 anos,418.0
,Conde,PB,2022,Total,Total,29 anos,404.0
,Conde,PB,2022,Total,Total,30 anos,437.0
,Conde,PB,2022,Total,Total,31 anos,397.0
,Conde,PB,2022,Total,Total,32 anos,409.0
,Conde,PB,2022,Total,Total,33 anos,404.0
,Conde,PB,2022,Total,Total,34 anos,411.0
,Conde,PB,2022,Total,Total,35 anos,423.0
,Conde,PB,2022,Total,Total,36 anos,440.0
,Conde,PB,2022,Total,Total,37 anos,435.0
,Conde,PB,2022,Total,Total,38 anos,408.0
,Conde,PB,2022,Total,Total,39 anos,469.0
,Conde,PB,2022,Total,Total,40 anos,479.0
,Conde,PB,2022,Total,Total,41 anos,425.0
,Conde,PB,2022,Total,Total,42 anos,438.0
,Conde,PB,2022,Total,Total,43 anos,428.0
,Conde,PB,2022,Total,Total,44 anos,353.0
,Conde,PB,2022,Total,Total,45 anos,385.0
,Conde,PB,2022,Total,Total,46 anos,380.0
,Conde,PB,2022,Total,Total,47 anos,355.0
,Conde,PB,2022,Total,Total,48 anos,331.0
,Conde,PB,2022,Total,Total,49 anos,314.0
,Conde,PB,2022,Total,Total,50 anos,307.0
,Conde,PB,2022,Total,Total,51 anos,334.0
,Conde,PB,2022,Total,Total,52 anos,314.0
,Conde,PB,2022,Total,Total,53 anos,298.0
,Conde,PB,2022,Total,Total,54 anos,312.0
,Conde,PB,2022,Total,Total,55 anos,292.0
,Conde,PB,2022,Total,Total,56 anos,308.0
,Conde,PB,2022,Total,Total,57 anos,292.0
,Conde,PB,2022,Total,Total,58 anos,297.0
,Conde,PB,2022,Total,Total,59 anos,250.0
,Conde,PB,2022,Total,Total,60 anos,278.0
,Conde,PB,2022,Total,Total,61 anos,229.0
,Conde,PB,2022,Total,Total,62 anos,248.0
,Conde,PB,2022,Total,Total,63 anos,185.0
,Conde,PB,2022,Total,Total,64 anos,190.0
,Conde,PB,2022,Total,Total,65 anos,177.0
,Conde,PB,2022,Total,Total,66 anos,183.0
,Conde,PB,2022,Total,Total,67 anos,169.0
,Conde,PB,2022,Total,Total,68 anos,164.0
,Conde,PB,2022,Total,Total,69 anos,137.0
,Conde,PB,2022,Total,Total,70 anos,147.0
,Conde,PB,2022,Total,Total,71 anos,104.0
,Conde,PB,2022,Total,Total,72 anos,111.0
,Conde,PB,2022,Total,Total,73 anos,117.0
,Conde,PB,2022,Total,Total,74 anos,110.0
,Conde,PB,2022,Total,Total,75 anos,73.0
,Conde,PB,2022,Total,Total,76 anos,67.0
,Conde,PB,2022,Total,Total,77 anos,79.0
,Conde,PB,2022,Total,Total,78 anos,80.0
,Conde,PB,2022,Total,Total,79 anos,53.0
,Conde,PB,2022,Total,Total,80 anos,51.0
,Conde,PB,2022,Total,Total,81 anos,47.0
,Conde,PB,2022,Total,Total,82 anos,46.0
,Conde,PB,2022,Total,Total,83 anos,36.0
,Conde,PB,2022,Total,Total,84 anos,34.0
,Conde,PB,2022,Total,Total,85 anos,19.0
,Conde,PB,2022,Total,Total,86 anos,23.0
,Conde,PB,2022,Total,Total,87 anos,22.0
,Conde,PB,2022,Total,Total,88 anos,20.0
,Conde,PB,2022,Total,Total,89 anos,19.0
,Conde,PB,2022,Total,Total,90 anos,13.0
,Conde,PB,2022,Total,Total,91 anos,8.0
,Conde,PB,2022,Total,Total,92 anos,7.0
,Conde,PB,2022,Total,Total,93 anos,6.0
,Conde,PB,2022,Total,Total,94 anos,5.0
,Conde,PB,2022,Total,Total,95 anos,3.0
,Conde,PB,2022,Total,Total,96 anos,2.0
,Conde,PB,2022,Total,Total,97 anos,3.0
,Conde,PB,2022,Total,Total,99 anos,4.0
,Conde,PB,2022,Total,Total,100 anos ou mais,2.0
,Cruz do Espírito Santo,PB,2022,Total,Total,18 anos,320.0
,Cruz do Espírito Santo,PB,2022,Total,Total,19 anos,307.0
,Cruz do Espírito Santo,PB,2022,Total,Total,20 anos,303.0
,Cruz do Espírito Santo,PB,2022,Total,Total,21 anos,269.0
,Cruz do Espírito Santo,PB,2022,Total,Total,22 anos,295.0
,Cruz do Espírito Santo,PB,2022,Total,Total,23 anos,297.0
,Cruz do Espírito Santo,PB,2022,Total,Total,24 anos,282.0
,Cruz do Espírito Santo,PB,2022,Total,Total,25 anos,295.0
,Cruz do Espírito Santo,PB,2022,Total,Total,26 anos,264.0
,Cruz do Espírito Santo,PB,2022,Total,Total,27 anos,289.0
,Cruz do Espírito Santo,PB,2022,Total,Total,28 anos,256.0
,Cruz do Espírito Santo,PB,2022,Total,Total,29 anos,234.0
,Cruz do Espírito Santo,PB,2022,Total,Total,30 anos,254.0
,Cruz do Espírito Santo,PB,2022,Total,Total,31 anos,235.0
,Cruz do Espírito Santo,PB,2022,Total,Total,32 anos,223.0
,Cruz do Espírito Santo,PB,2022,Total,Total,33 anos,254.0
,Cruz do Espírito Santo,PB,2022,Total,Total,34 anos,232.0
,Cruz do Espírito Santo,PB,2022,Total,Total,35 anos,243.0
,Cruz do Espírito Santo,PB,2022,Total,Total,36 anos,238.0
,Cruz do Espírito Santo,PB,2022,Total,Total,37 anos,250.0
,Cruz do Espírito Santo,PB,2022,Total,Total,38 anos,282.0
,Cruz do Espírito Santo,PB,2022,Total,Total,39 anos,266.0
,Cruz do Espírito Santo,PB,2022,Total,Total,40 anos,310.0
,Cruz do Espírito Santo,PB,2022,Total,Total,41 anos,233.0
,Cruz do Espírito Santo,PB,2022,Total,Total,42 anos,292.0
,Cruz do Espírito Santo,PB,2022,Total,Total,43 anos,275.0
,Cruz do Espírito Santo,PB,2022,Total,Total,44 anos,236.0
,Cruz do Espírito Santo,PB,2022,Total,Total,45 anos,236.0
,Cruz do Espírito Santo,PB,2022,Total,Total,46 anos,242.0
,Cruz do Espírito Santo,PB,2022,Total,Total,47 anos,231.0
,Cruz do Espírito Santo,PB,2022,Total,Total,48 anos,230.0
,Cruz do Espírito Santo,PB,2022,Total,Total,49 anos,223.0
,Cruz do Espírito Santo,PB,2022,Total,Total,50 anos,222.0
,Cruz do Espírito Santo,PB,2022,Total,Total,51 anos,233.0
,Cruz do Espírito Santo,PB,2022,Total,Total,52 anos,213.0
,Cruz do Espírito Santo,PB,2022,Total,Total,53 anos,184.0
,Cruz do Espírito Santo,PB,2022,Total,Total,54 anos,181.0
,Cruz do Espírito Santo,PB,2022,Total,Total,55 anos,191.0
,Cruz do Espírito Santo,PB,2022,Total,Total,56 anos,188.0
,Cruz do Espírito Santo,PB,2022,Total,Total,57 anos,164.0
,Cruz do Espírito Santo,PB,2022,Total,Total,58 anos,178.0
,Cruz do Espírito Santo,PB,2022,Total,Total,59 anos,167.0
,Cruz do Espírito Santo,PB,2022,Total,Total,60 anos,142.0
,Cruz do Espírito Santo,PB,2022,Total,Total,61 anos,111.0
,Cruz do Espírito Santo,PB,2022,Total,Total,62 anos,142.0
,Cruz do Espírito Santo,PB,2022,Total,Total,63 anos,122.0
,Cruz do Espírito Santo,PB,2022,Total,Total,64 anos,130.0
,Cruz do Espírito Santo,PB,2022,Total,Total,65 anos,112.0
,Cruz do Espírito Santo,PB,2022,Total,Total,66 anos,109.0
,Cruz do Espírito Santo,PB,2022,Total,Total,67 anos,78.0
,Cruz do Espírito Santo,PB,2022,Total,Total,68 anos,93.0
,Cruz do Espírito Santo,PB,2022,Total,Total,69 anos,76.0
,Cruz do Espírito Santo,PB,2022,Total,Total,70 anos,87.0
,Cruz do Espírito Santo,PB,2022,Total,Total,71 anos,81.0
,Cruz do Espírito Santo,PB,2022,Total,Total,72 anos,81.0
,Cruz do Espírito Santo,PB,2022,Total,Total,73 anos,63.0
